"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Danny Amendola (FA)","7","9","113","16.1","37","0","2","0","0","0","0","1","32.3","32.3","0.1%"
"2","Deebo Samuel (SF)","4","6","95","23.8","43","0","0","8","45","1","0","1","29.0","29.0","99.9%"
"3","Cedrick Wilson Jr. (MIA)","5","6","119","23.8","37","0","2","0","0","0","0","1","28.9","28.9","1.5%"
"4","Russell Gage (TB)","9","13","126","14.0","26","0","1","0","0","0","0","1","27.6","27.6","85.1%"
"5","Jauan Jennings (SF)","6","7","94","15.7","34","0","2","0","0","0","0","1","27.4","27.4","1.1%"
"6","Tyler Lockett (SEA)","5","5","98","19.6","43","0","2","1","2","0","0","1","27.0","27.0","92.7%"
"7","Mike Evans (TB)","6","7","89","14.8","37","0","2","0","0","0","0","1","26.9","26.9","99.6%"
"8","Mike Williams (LAC)","9","17","119","13.2","47","0","1","0","0","0","0","1","26.9","26.9","95.1%"
"9","Cooper Kupp (LAR)","7","7","118","16.9","46","0","1","1","18","0","0","1","26.6","26.6","99.9%"
"10","Amon-Ra St. Brown (DET)","8","10","109","13.6","28","0","1","1","12","0","0","1","26.1","26.1","95.6%"
"11","Darnell Mooney (CHI)","12","16","126","10.5","19","0","0","0","0","0","0","1","24.6","24.6","92.9%"
"12","Allen Lazard (GB)","5","6","75","15.0","29","0","2","0","0","0","0","1","24.5","24.5","81.6%"
"13","Stefon Diggs (BUF)","9","14","81","9.0","17","0","1","0","0","0","0","1","23.1","23.1","99.9%"
"14","Justin Jefferson (MIN)","5","7","107","21.4","45","0","1","1","4","0","0","1","22.1","22.1","99.9%"
"15","Marvin Jones Jr. (JAC)","7","8","88","12.6","29","0","1","0","0","0","0","1","21.8","21.8","23.6%"
"16","Kalif Raymond (DET)","4","5","101","25.3","75","0","1","1","13","0","0","1","21.4","21.4","0.7%"
"17","Michael Pittman Jr. (IND)","6","7","64","10.7","21","0","1","0","0","0","0","1","20.4","20.4","97.7%"
"18","Jarvis Landry (NO)","6","8","75","12.5","26","0","1","0","0","0","0","1","19.5","19.5","64.1%"
"19","Quez Watkins (PHI)","5","7","84","16.8","36","0","1","0","0","0","0","1","19.4","19.4","0.7%"
